"0"|"1"|"2"|"3"
"Company"|"Old FV"|"New FV"|"Split Date"
"LG Balakrishnan  Add to Watchlist  Add to Portfolio"|"1"|"10"|"15-03-2010"
"India Sec  Add to Watchlist  Add to Portfolio"|"10"|"1"|"11-03-2010"
"Vaarad Ventures  Add to Watchlist  Add to Portfolio"|"10"|"2"|"09-03-2010"
"Sterlite Techno  Add to Watchlist  Add to Portfolio"|"5"|"2"|"09-03-2010"
"JMDE Packaging  Add to Watchlist  Add to Portfolio"|"10"|"1"|"26-02-2010"
"Basant Agro Tec  Add to Watchlist  Add to Portfolio"|"10"|"1"|"26-02-2010"
"Haldyn Glass  Add to Watchlist  Add to Portfolio"|"10"|"1"|"25-02-2010"
"Aishwarya Tech  Add to Watchlist  Add to Portfolio"|"10"|"5"|"24-02-2010"
"Assoc Stone  Add to Watchlist  Add to Portfolio"|"10"|"5"|"18-02-2010"
"KRBL  Add to Watchlist  Add to Portfolio"|"10"|"1"|"10-02-2010"
"CCCL  Add to Watchlist  Add to Portfolio"|"10"|"2"|"10-02-2010"
"Asian Films  Add to Watchlist  Add to Portfolio"|"1"|"10"|"04-02-2010"
"Bajaj Electric  Add to Watchlist  Add to Portfolio"|"10"|"2"|"28-01-2010"
"Farmax India  Add to Watchlist  Add to Portfolio"|"10"|"5"|"27-01-2010"
"Nakoda  Add to Watchlist  Add to Portfolio"|"10"|"5"|"22-01-2010"
"Visagar Polytex  Add to Watchlist  Add to Portfolio"|"10"|"1"|"21-01-2010"
"Winsome Yarns  Add to Watchlist  Add to Portfolio"|"10"|"1"|"21-01-2010"
"Mahan Ind  Add to Watchlist  Add to Portfolio"|"10"|"1"|"15-01-2010"
"Lanco Infratech  Add to Watchlist  Add to Portfolio"|"10"|"1"|"04-01-2010"
