"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2008"|"SBI"|"1:5"|"10"|"1580"|"14-01-08"|"04-02-08"|"28-01-08"
"2008"|"Dhanlaxmi Bank"|"1:1"|"10"|"52"|"14-01-08"|"30-01-08"|"23-01-08"
"2009"|"Infomedia Press"|"3:2"|"10"|"24"|"11-04-09"|"21-12-09"|"18-12-09"
"2009"|"City Union Bank"|"1:4"|"1"|"5"|"30-06-09"|"13-11-09"|"12-11-09"
"2009"|"Lakshmi Vilas"|"1:1"|"10"|"44"|"14-05-09"|"25-09-09"|"24-09-09"
"2009"|"TV 18"|"1:2"|"5"|"84"|"13-05-09"|"22-09-09"|"18-09-09"
"2009"|"Impex FerroTech"|"1:1"|"10"|"6"|"28-05-07"|"00-00-00"|"17-09-09"
"2009"|"Greycells Edu"|"61:100"|"10"|"40"|"11-12-08"|"00-00-00"|"16-09-09"
"2009"|"Perfect Pack"|"1:1"|"10"|"15"|"30-06-08"|"00-00-00"|"11-09-09"
"2009"|"Morarjee Text"|"1:1"|"10"|"5"|"23-02-09"|"00-00-00"|"11-09-09"
"2009"|"Tinplate"|"3:2"|"10"|"35"|"16-01-09"|"10-09-09"|"09-09-09"
"2009"|"Greenply Ind"|"3:10"|"5"|"85"|"07-03-09"|"08-09-09"|"07-09-09"
"2009"|"Fortis Health"|"2:5"|"10"|"100"|"24-12-08"|"20-08-09"|"18-08-09"
"2009"|"Siti Networks"|"109:100"|"1"|"18"|"20-08-08"|"00-00-00"|"13-08-09"
"2009"|"Siti Networks"|"109:100"|"1"|"18"|"04-08-09"|"00-00-00"|"13-08-09"
"2009"|"Piramal Glass"|"7:2"|"10"|"20"|"20-01-09"|"00-00-00"|"11-08-09"
"2009"|"JMC Projects"|"1:5"|"10"|"100"|"16-07-09"|"00-00-00"|"24-07-09"
"2009"|"Nouveau Global"|"3:2"|"10"|"0"|"29-09-07"|"21-07-09"|"14-07-09"
"2009"|"Sundaram Brake"|"9:20"|"10"|"112"|"06-02-09"|"21-05-09"|"14-05-09"
"2009"|"Syncom Formula"|"1:2"|"10"|"7"|"01-09-08"|"20-05-09"|"13-05-09"
"2009"|"High Energy"|"1:1"|"10"|"90"|"13-12-08"|"14-05-09"|"07-05-09"
"2009"|"Alok Industries"|"83:40"|"10"|"1"|"03-01-09"|"25-03-09"|"18-03-09"
"2009"|"Chemplast Sanma"|"2:3"|"1"|"4"|"23-02-09"|"24-03-09"|"17-03-09"
"2009"|"Gangotri Iron"|"4:5"|"10"|"10"|"16-04-08"|"20-03-09"|"13-03-09"
"2009"|"Capri Global"|"2:1"|"10"|"0"|"17-12-07"|"20-02-09"|"13-02-09"
"2009"|"Jamshri"|"1:1"|"10"|"0"|"25-08-08"|"11-02-09"|"04-02-09"
"2010"|"Gemmia Oiltech"|"4:1"|"10"|"0"|"28-08-09"|"08-11-10"|"04-11-10"
"2010"|"Murudeshwar Cer"|"1:1"|"10"|"10"|"06-05-10"|"20-10-10"|"19-10-10"
"2010"|"State Bk Mysore"|"3:10"|"10"|"530"|"31-10-09"|"04-09-10"|"02-09-10"
"2010"|"Rohit Ferro Tec"|"2:5"|"10"|"50"|"07-01-10"|"20-08-10"|"18-08-10"
"2010"|"Camlin Fine"|"3:5"|"10"|"6"|"01-12-09"|"02-08-10"|"30-07-10"
"2010"|"GOCL Corp"|"1:3"|"2"|"30"|"25-06-09"|"00-00-00"|"27-07-10"
"2010"|"Trent"|"4:9"|"10"|"540"|"14-06-10"|"10-07-10"|"08-07-10"
"2010"|"Sadbhav Engg"|"1:20"|"10"|"715"|"27-03-09"|"17-06-10"|"16-06-10"
"2010"|"Suzlon Energy"|"2:15"|"2"|"61"|"29-05-10"|"10-06-10"|"09-06-10"
"2010"|"Rei Agro"|"2:1"|"1"|"19"|"09-09-09"|"08-06-10"|"07-06-10"
"2010"|"Comfort"|"1:1"|"1"|"3"|"15-10-09"|"03-06-10"|"02-06-10"
"2010"|"ECE Industries"|"1:1"|"10"|"90"|"31-10-08"|"28-05-10"|"26-05-10"
"2010"|"Premier Energy"|"1:1"|"10"|"10"|"29-10-09"|"07-05-10"|"06-05-10"
"2010"|"Adani Enterpris"|"1:16"|"1"|"474"|"30-10-09"|"25-03-10"|"23-03-10"
"2010"|"Videocon Ind"|"2:9"|"10"|"215"|"31-10-09"|"00-00-00"|"18-03-10"
"2010"|"Tulive Develop"|"127:64"|"10"|"0"|"13-01-10"|"19-03-10"|"05-03-10"
