"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2007"|"Mirza Intl"|"10"|"2"|"24-04-2007"
"2007"|"Action Financia"|"1"|"10"|"23-04-2007"
"2007"|"Punj Lloyd"|"10"|"2"|"29-03-2007"
"2007"|"NRB Bearings"|"10"|"2"|"26-03-2007"
"2007"|"Suven Life Sci"|"2"|"1"|"23-03-2007"
"2007"|"Minaxi Textiles"|"10"|"1"|"21-03-2007"
"2007"|"Bombay SwadShar"|"10"|"2"|"20-03-2007"
"2007"|"Sapan Chemicals"|"1"|"10"|"15-03-2007"
"2007"|"Nirma"|"10"|"5"|"14-03-2007"
"2007"|"DeccanChronicle"|"10"|"2"|"13-03-2007"
"2007"|"Prime Urban Dev"|"10"|"2"|"13-03-2007"
"2007"|"Max Financial"|"10"|"2"|"12-03-2007"
"2007"|"Marico"|"10"|"1"|"21-02-2007"
"2007"|"Gokaldas Export"|"10"|"5"|"08-02-2007"
"2007"|"JIK Industries"|"1"|"10"|"07-02-2007"
"2007"|"Paramount Comm"|"10"|"2"|"25-01-2007"
"2007"|"Pondy Oxides"|"2"|"10"|"15-01-2007"
"2007"|"Alka Secur"|"10"|"2"|"15-01-2007"
"2007"|"Jaybharat Text"|"5"|"2"|"09-01-2007"
"2007"|"Finolex Cables"|"10"|"2"|"08-01-2007"
"2007"|"CNI Research"|"10"|"1"|"08-01-2007"
"2007"|"Birlasoft"|"5"|"2"|"04-01-2007"
"2008"|"Allied Computer"|"10"|"1"|"19-12-2008"
"2008"|"Jyothy Labs"|"5"|"1"|"12-12-2008"
"2008"|"Koffee Break"|"10"|"1"|"08-12-2008"
"2008"|"State Bk Travan"|"100"|"10"|"05-12-2008"
"2008"|"Sybly Ind"|"10"|"1"|"02-12-2008"
"2008"|"Khyati Multimed"|"1"|"10"|"24-11-2008"
"2008"|"Shri Dinesh Mil"|"100"|"10"|"20-11-2008"
"2008"|"Nectar Life"|"10"|"1"|"12-11-2008"
"2008"|"Jindal Drilling"|"10"|"5"|"06-11-2008"
"2008"|"Ratnamani Metal"|"10"|"2"|"06-11-2008"
"2008"|"Mobile Tele"|"10"|"1"|"31-10-2008"
"2008"|"Time Techno"|"10"|"1"|"29-10-2008"
"2008"|"Skyline Millars"|"10"|"1"|"27-10-2008"
"2008"|"GE T&D India"|"10"|"2"|"22-10-2008"
"2008"|"Country Club"|"10"|"2"|"15-10-2008"
"2008"|"AIA Engineering"|"10"|"2"|"13-10-2008"
"2008"|"State B Bikaner"|"100"|"10"|"07-10-2008"
"2008"|"Provogue"|"10"|"2"|"03-10-2008"
"2008"|"Ramco Cements"|"10"|"1"|"01-10-2008"
