"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Foseco India"|"Interim"|"20.00"|"04-10-2012"|"29-10-2012"|"25-10-2012"
"Mindtree"|"Interim"|"30.00"|"16-10-2012"|"29-10-2012"|"25-10-2012"
"CRISIL"|"Interim"|"300.00"|"08-10-2012"|"26-10-2012"|"23-10-2012"
"Hind Zinc"|"Interim"|"80.00"|"12-10-2012"|"26-10-2012"|"23-10-2012"
"Accelya Kale"|"Final"|"100.00"|"01-08-2012"|"-"|"23-10-2012"
"Motilal Oswal"|"Interim"|"100.00"|"10-10-2012"|"26-10-2012"|"23-10-2012"
"HCL Tech"|"Final"|"200.00"|"25-07-2012"|"-"|"19-10-2012"
"HCL Tech"|"Interim"|"300.00"|"25-07-2012"|"-"|"19-10-2012"
"HCL Tech"|"Interim"|"100.00"|"26-07-2012"|"-"|"19-10-2012"
"Infosys"|"Interim"|"300.00"|"24-09-2012"|"19-10-2012"|"18-10-2012"
"Indag Rubber"|"Final"|"25.00"|"09-10-2012"|"17-10-2012"|"16-10-2012"
"Catvision"|"Final"|"10.00"|"08-10-2012"|"-"|"15-10-2012"
"Anup Malleables"|"Final"|"5.00"|"13-09-2012"|"19-10-2012"|"12-10-2012"
"Gati"|"Final"|"25.00"|"10-08-2012"|"-"|"11-10-2012"
"Shree Cements"|"Final"|"80.00"|"23-08-2012"|"-"|"08-10-2012"
"Rel Capital"|"Special"|"50.00"|"10-09-2012"|"05-10-2012"|"04-10-2012"
"Colgate"|"Interim"|"1300.00"|"31-08-2012"|"03-10-2012"|"01-10-2012"
"Patel Eng"|"Final"|"30.00"|"05-09-2012"|"-"|"01-10-2012"
"Kilburn Chem"|"Final"|"15.00"|"12-07-2012"|"-"|"27-09-2012"
"Prithvi Exc"|"Final"|"5.00"|"31-05-2012"|"-"|"27-09-2012"
"Premco Global"|"Final"|"12.00"|"21-05-2012"|"-"|"27-09-2012"
"Tantia Const"|"Final"|"15.00"|"29-05-2012"|"-"|"27-09-2012"
"Rajesh Exports"|"Final"|"60.00"|"30-05-2012"|"-"|"26-09-2012"
"Garnet Intl"|"Final"|"1.00"|"06-09-2012"|"-"|"26-09-2012"
"A.K.Capital Ser"|"Final"|"60.00"|"27-08-2012"|"-"|"25-09-2012"
"Ad Manum Fin"|"Final"|"10.00"|"30-08-2012"|"-"|"25-09-2012"
"Country Club"|"Final"|"5.00"|"04-09-2012"|"-"|"25-09-2012"
"Eldeco Housing"|"Final"|"10.00"|"04-09-2012"|"-"|"25-09-2012"
"Kisan Mouldings"|"Final"|"6.00"|"30-05-2012"|"-"|"25-09-2012"
"Mobile Tele"|"Final"|"6.00"|"03-09-2012"|"-"|"25-09-2012"
"Simplex Casting"|"Final"|"25.00"|"13-08-2012"|"-"|"25-09-2012"
"Sacheta Metals"|"Final"|"2.50"|"05-09-2012"|"-"|"25-09-2012"
"Supreme Petro"|"Final"|"14.00"|"18-07-2012"|"-"|"25-09-2012"
"Superior Ind"|"Final"|"3.00"|"30-05-2012"|"-"|"25-09-2012"
"SVOGL Oil Gas"|"Final"|"10.00"|"03-09-2012"|"-"|"25-09-2012"
"Tirupati Foam"|"Final"|"12.00"|"18-09-2012"|"-"|"25-09-2012"
"Alchemist"|"Final"|"20.00"|"14-08-2012"|"-"|"25-09-2012"
"Basant Agro Tec"|"Final"|"8.00"|"14-06-2012"|"-"|"24-09-2012"
"Commex Tech"|"Final"|"6.00"|"29-05-2012"|"-"|"24-09-2012"
"Bhagyanagar Ind"|"Final"|"20.00"|"30-04-2012"|"-"|"24-09-2012"
"Camson Bio Tech"|"Final"|"10.00"|"31-08-2012"|"-"|"24-09-2012"
"EPL"|"Final"|"32.50"|"03-09-2012"|"-"|"24-09-2012"
"Frontier Cap"|"Final"|"10.00"|"30-05-2012"|"-"|"24-09-2012"
"Zodiac Ventures"|"Final"|"13.00"|"30-05-2012"|"-"|"24-09-2012"
"Veljan Denison"|"Final"|"75.00"|"07-09-2012"|"-"|"24-09-2012"
"Horizon Infra"|"Final"|"10.00"|"01-06-2012"|"-"|"24-09-2012"
"Heritage Foods"|"Final"|"20.00"|"29-05-2012"|"-"|"24-09-2012"
"Hilton Metal"|"Final"|"2.50"|"18-05-2012"|"-"|"24-09-2012"
"KCP"|"Interim"|"25.00"|"17-09-2012"|"25-09-2012"|"24-09-2012"
"Kilitch Drugs"|"Special"|"300.00"|"30-08-2012"|"25-09-2012"|"24-09-2012"
"Ortin Labs"|"Final"|"5.00"|"31-08-2012"|"-"|"24-09-2012"
"Alicon Castallo"|"Final"|"27.50"|"30-05-2012"|"-"|"24-09-2012"
"Parabolic Drugs"|"Final"|"2.50"|"14-08-2012"|"-"|"24-09-2012"
"Rei Agro"|"Final"|"50.00"|"30-05-2012"|"-"|"24-09-2012"
"Rajeswari Infra"|"Final"|"5.00"|"13-08-2012"|"-"|"24-09-2012"
"Vama Ind"|"Final"|"1.00"|"07-09-2012"|"-"|"24-09-2012"
"SKIL Infra"|"Final"|"10.00"|"01-06-2012"|"-"|"24-09-2012"
"Prime Property"|"Final"|"10.00"|"31-07-2012"|"-"|"24-09-2012"
"Tyche Ind"|"Final"|"5.00"|"31-05-2012"|"-"|"24-09-2012"
"Surana Telecom"|"Final"|"10.00"|"28-04-2012"|"-"|"24-09-2012"
"Surana Solar"|"Final"|"5.00"|"30-04-2012"|"-"|"24-09-2012"
"Vipul Organics"|"Final"|"8.00"|"30-05-2012"|"-"|"24-09-2012"
"Vardhman Ind"|"Final"|"10.00"|"06-09-2012"|"-"|"24-09-2012"
"Vamshi Rubber"|"Final"|"10.00"|"04-06-2012"|"-"|"24-09-2012"
"WH Brady"|"Final"|"15.00"|"22-08-2012"|"-"|"24-09-2012"
"Action Const"|"Final"|"10.00"|"06-08-2012"|"-"|"21-09-2012"
"Advanced Micron"|"Final"|"10.00"|"22-05-2012"|"-"|"21-09-2012"
"Avon Life"|"Final"|"10.00"|"30-05-2012"|"-"|"21-09-2012"
"Akar Auto Indus"|"Final"|"5.00"|"30-08-2012"|"-"|"21-09-2012"
"Delta Corp"|"Final"|"35.00"|"27-04-2012"|"-"|"21-09-2012"
"Pyxis Finvest"|"Final"|"2.50"|"30-05-2012"|"-"|"21-09-2012"
